Date	Volume	Avg Sentiment	Candidate	Party
9-Feb	21915	0.113073238	Clinton	Democrat
20-Feb	25609	0.153227381	Clinton	Democrat
23-Feb	15235	0.112372826	Clinton	Democrat
27-Feb	17667	0.21486387	Clinton	Democrat
1-Mar	23479	0.077047574	Clinton	Democrat
5-Mar	16505	0.196910027	Clinton	Democrat
6-Mar	20041	0.21545831	Clinton	Democrat
8-Mar	21008	0.180169459	Clinton	Democrat
12-Mar	1445	-0.011072664	Clinton	Democrat
15-Mar	24775	-0.028617558	Clinton	Democrat
22-Mar	20899	0.055170104	Clinton	Democrat
26-Mar	15802	0.101379572	Clinton	Democrat
5-Apr	28119	0.159536257	Clinton	Democrat
9-Apr	18103	0.446113904	Clinton	Democrat
19-Apr	22708	0.149550819	Clinton	Democrat
26-Apr	22594	0.210542622	Clinton	Democrat
3-May	19170	0.124100156	Clinton	Democrat
9-Feb	40392	0.163250149	Trump	Republican
20-Feb	43755	0.161375843	Trump	Republican
23-Feb	48337	0.085296977	Trump	Republican
27-Feb	83758	0.090642088	Trump	Republican
1-Mar	102737	0.040423606	Trump	Republican
5-Mar	84088	0.13253972	Trump	Republican
6-Mar	84555	0.086476258	Trump	Republican
8-Mar	71391	0.14496225	Trump	Republican
12-Mar	9299	-0.009140768	Trump	Republican
15-Mar	105720	0.025085131	Trump	Republican
22-Mar	90208	0.071434906	Trump	Republican
26-Mar	67225	0.119390108	Trump	Republican
5-Apr	63114	0.197832494	Trump	Republican
9-Apr	44817	0.334917554	Trump	Republican
19-Apr	51480	0.149786325	Trump	Republican
26-Apr	51386	0.182228623	Trump	Republican
3-May	64382	0.117082414	Trump	Republican
9-Feb	22982	0.24915151	Sanders	Democrat
20-Feb	26647	0.204563365	Sanders	Democrat
23-Feb	20347	0.229124687	Sanders	Democrat
27-Feb	20188	0.283732911	Sanders	Democrat
1-Mar	36291	0.186575184	Sanders	Democrat
5-Mar	20175	0.212887237	Sanders	Democrat
6-Mar	32899	0.22854798	Sanders	Democrat
8-Mar	29228	0.166073628	Sanders	Democrat
12-Mar	1962	0.218654434	Sanders	Democrat
15-Mar	34117	0.18254829	Sanders	Democrat
22-Mar	22844	0.292461916	Sanders	Democrat
26-Mar	45902	0.273561065	Sanders	Democrat
5-Apr	36378	0.322804992	Sanders	Democrat
9-Apr	26030	0.262773723	Sanders	Democrat
19-Apr	33064	0.250998064	Sanders	Democrat
26-Apr	25408	0.239727645	Sanders	Democrat
3-May	14859	0.284406757	Sanders	Democrat
9-Feb	17252	0.162415952	Cruz	Republican
20-Feb	21043	0.154398137	Cruz	Republican
23-Feb	22043	0.051898562	Cruz	Republican
27-Feb	20718	0.164832513	Cruz	Republican
1-Mar	26811	0.214501511	Cruz	Republican
5-Mar	26994	0.205230792	Cruz	Republican
6-Mar	34997	0.173157699	Cruz	Republican
8-Mar	31208	0.17694181	Cruz	Republican
12-Mar	1141	0.312883436	Cruz	Republican
15-Mar	22453	0.244510756	Cruz	Republican
22-Mar	31217	0.020245379	Cruz	Republican
26-Mar	42189	0.008912276	Cruz	Republican
5-Apr	28971	0.151530841	Cruz	Republican
9-Apr	17440	0.220986239	Cruz	Republican
19-Apr	23059	0.152088122	Cruz	Republican
26-Apr	25054	0.100463	Cruz	Republican
3-May	38836	-0.002343187	Cruz	Republican
